x,y
408255.91998522804,6235014.4498991845
425559.8763264301,6264443.259960303
425626.8447006032,6253142.996035768
426047.1144061835,6234295.728989178
425301.1404351037,6246621.91797545
415011.5361919299,6242815.028481897
412672.7283945048,6249255.283092338
419009.26404213445,6237825.980106907
423512.5754259636,6234149.401098534
425473.76921191806,6260341.254339259
408237.8104405063,6243962.801488674
408387.87692696374,6232493.020925407
418727.2551669464,6256414.388780883
425547.33584049257,6242294.790866135
403989.0659122805,6238874.41489723
418931.9737127014,6251324.823832173
425725.0762838099,6239386.324026307
425951.3218944442,6232327.544119447
414898.0955872144,6244716.854723816
425337.2603567609,6258496.240261276
403477.619264549,6236391.893986218
425542.04776014463,6251408.7060188195
403523.5120408447,6232438.84146762
414872.96452925535,6241292.967362655
414242.4735648007,6232333.333761761
415880.91355617496,6253052.434909598
425833.41007933463,6237707.075249111
411009.5869663971,6247247.020633212
408473.89263289206,6241450.103890756
421866.6440019949,6232379.134410686
421345.36871997913,6259506.77095221
420186.2988474859,6246924.069902116
414265.80554156407,6237541.716295357
420730.3933413727,6244560.070268664
425304.9613841512,6256600.19628791
408396.2297232406,6239042.809569237
400948.2450811398,6234872.405902377
425423.14799066214,6249718.318746273
422537.68389028864,6242491.065114681
425625.22110607487,6262537.961927426
419145.3883088708,6242515.773207449
415636.00953123206,6251411.5023081135
418923.39442031557,6235782.104340613
425920.9117940524,6236081.658612282
411100.31889324455,6245316.938997178
418403.78001133376,6255160.124654887
425386.08920281345,6245152.782675985
416251.10408770974,6249206.326096903
413976.80474502273,6235412.542004166
401199.84221749956,6232327.81260987
421242.569081535,6257851.572342048
417059.4405707098,6246099.778687432
421239.5200024226,6239962.6053048875
417648.352155308,6232327.544287681
422927.1266185162,6254821.788153832
422710.35135671735,6247749.854181474
405687.30655712326,6240865.400485461
423080.8848716762,6261445.93108413
416715.1416423271,6247626.774664551
419047.5191212588,6233610.040033482
422056.26773937006,6251770.809258569
411817.8472950611,6237135.141657208
414654.46787943435,6239591.747012982
425325.10381984204,6248151.641890581
424033.2848931919,6232327.544158315
424207.4964561543,6240758.6671101125
418364.18435611605,6253490.286532599
425460.8890890788,6243858.946849621
417939.49985456537,6244573.262030067
413902.30404375226,6233794.970346505
411631.9443895879,6241981.551025906
421813.4212649775,6238157.196576774
