x,y
416181.17838625377,6232908.429963719
425308.9482793791,6264179.9917501835
399264.2784842638,6232327.544654727
425713.25856608426,6254093.790417807
425340.8424818481,6245841.595891709
426070.6807537181,6233889.239941169
409474.915506117,6245454.296942335
417725.72406086035,6248597.021265876
414453.32484321634,6240632.68390204
419110.3546038248,6256797.912070989
424888.7842552125,6241751.48189419
414976.2849430945,6251983.934122458
425512.61613926274,6260481.906275329
402820.1160272636,6237623.682293995
425436.0922643924,6238469.64091623
416902.3506037138,6246628.063502844
422089.01080007706,6232327.550078428
425487.305881447,6250687.837412535
411043.540055586,6236858.755203915
419305.6111604321,6240287.873037304
425604.9668076035,6258545.783993998
416966.2089343354,6238850.90435715
419490.4159713902,6245020.072024229
408654.4446451016,6238112.728442741
419390.448000091,6255196.570978759
425356.8910916174,6239670.226366768
425952.5292984969,6232327.54411943
402172.3943879484,6235418.935612894
420306.01179049944,6248482.217890446
407590.83023934066,6242198.92563077
425446.3831861976,6236790.90387523
422534.9331646805,6247719.398116138
419551.35773038364,6235142.03686884
421814.2295201226,6260060.565506874
412438.05245333933,6247591.539390441
419996.00503900164,6232419.433442177
425437.8323447722,6256226.839156717
421970.85756827984,6243518.349627104
409307.4539188881,6235170.611583708
413686.23624911864,6244001.154101428
416340.61255142523,6250446.163289802
419657.5233465887,6250787.921716553
405288.06521073054,6240405.560760104
421730.667879232,6240571.239847323
413474.4973459002,6242224.493715424
425337.355454869,6262363.506636159
425324.737228415,6249048.156384944
416258.9800389881,6253488.175476975
425428.03517396486,6235407.290963308
413283.3134665404,6238814.602189091
413218.1709910653,6236204.4763995875
421815.08786690765,6258401.553488839
425421.8502267771,6244534.212748541
402077.98562048073,6232327.544603152
421418.5983042443,6237831.055317381
409139.41765683604,6243745.6338103395
421933.3079668196,6245710.182735558
405431.0206839769,6238397.156696144
414648.81037223095,6249015.745375274
421540.5308478794,6235950.830034361
422386.91916368884,6256406.072051614
407081.08499257604,6234121.768074725
414019.54399290954,6232327.544361204
425525.0777743171,6242748.656083269
417182.1378009699,6244387.209432873
425355.13094991277,6252329.224122986
417298.3508207716,6254726.639859448
400529.0509719844,6233920.900603625
417744.5825723103,6234026.898326804
425256.51723675063,6247523.048480485
407202.2434768378,6232343.632912171
424178.00675506436,6232450.141137158
