x,y
425255.23256702157,6149373.134979432
429699.73357649706,6147344.658618126
423837.89945178793,6147344.658618126
429594.2279125205,6151614.196330395
423837.89945178793,6151614.196330395
426817.57221438014,6147344.659417215
429699.73357649706,6149964.937786037
426999.86310839566,6151614.196330395
423837.8994521107,6149609.463253472
428782.3671921954,6148796.69208788
425635.2303453457,6147344.658618415
427753.82765869214,6150373.47806534
423932.6164965479,6148774.231343469
428384.2055191125,6147344.658618293
423837.89945880073,6150873.3925671205
425753.52323921875,6151614.196330395
426999.6232177961,6149071.103790045
428860.6105843997,6151038.567172755
423862.7830320032,6148188.722194561
426332.9578759035,6150756.750360297
429697.22165420477,6148428.488982978
429699.72602908994,6150898.874929465
424804.5191713731,6147344.938040432
423837.89945178793,6150483.316354647
427589.8576295434,6147344.658618126
425923.9188470525,6148603.52672025
428373.05857716216,6149379.022357271
424841.74165343033,6151614.196330395
429416.3244325941,6147999.286059247
423839.8427582559,6149182.919085042
428274.12352978025,6151614.196330395
429185.82629111555,6147344.658618126
426647.5051247468,6149836.697646901
426402.9485586004,6147344.658618474
429697.56985229993,6149468.7962167775
423853.4450008551,6147783.610172782
426936.2135734872,6148091.666345382
429699.73357649706,6150500.382413849
427627.3004241534,6148391.26353891
423837.9396139787,6151262.253760432
427472.9437052313,6150970.970734821
423837.99158639973,6149995.067138732
425287.44443833025,6148233.386446432
428766.33500508434,6150623.440083584
425417.7690319257,6150245.28835139
429699.7335763614,6149040.440611373
424348.25054832734,6147345.641283547
427862.19014491735,6147955.658750747
426826.6746776432,6149394.410116634
426449.9384932295,6151614.180395532
427603.76748353854,6148935.9173638895
429009.8864601872,6151614.190182158
424909.8648029185,6148835.561431915
428051.4091733068,6149914.767999072
427193.8364088681,6147344.658618139
429048.9112572126,6148406.068987995
424791.9538385128,6150089.099386997
425351.4063360875,6147880.263997729
428934.34145259595,6150321.282105945
427524.20095326327,6151614.196330392
428078.3324572376,6149092.420014285
424824.3465128543,6151235.117043626
426440.20720147464,6150277.325045156
428622.2051103763,6147901.203249146
429663.3798247237,6151255.659719502
426066.67486006464,6149163.40369956
425232.8976929805,6147344.658618493
425769.02054101665,6149651.267815072
428304.4923700452,6151208.404927038
424596.23135648953,6148442.510332806
426943.52372829925,6148587.728234558
424740.42605627107,6150808.206366309
429608.897827161,6147677.074968738
427952.9328899424,6147348.8961686175
424684.36584716896,6149215.778925936
428845.71041287563,6149605.962665171
426026.56557499315,6147351.819639958
424410.26942330855,6150289.1708556395
428786.8253366023,6147344.6586186495
429153.982414513,6149993.245595208
