x,y
425668.59965220705,6147865.416414266
423837.89947464655,6151614.19630238
429699.7319360846,6151614.195203569
429699.7333841452,6147344.658727438
423837.899542296,6147344.659479265
428516.56402704306,6149903.714266128
423840.04018890555,6150187.412222933
427594.564995698,6151614.196262841
427168.59395842795,6150188.703819434
423837.8997658819,6149309.171113697
429372.8336312048,6149471.729065489
426393.03990277776,6150497.064375415
426828.15173636976,6147344.658799628
423837.8996742023,6148418.815457325
425774.82154792815,6151614.195791111
429699.7333021946,6150840.115454787
427157.0547543767,6149243.181130832
425303.30918141204,6147344.659604561
423837.9003040559,6151043.234737942
429360.5027890458,6148123.9427317865
428587.17278775875,6151614.196243835
425617.026778558,6149506.166188303
429699.7335659554,6150108.204857518
428657.4131810092,6149004.142974236
423837.9002977787,6147945.236774714
427570.50970445154,6148504.236151925
423837.90044947766,6149715.191030373
427929.4211382614,6150833.754734516
425078.8136112867,6151614.196330395
426256.4232237095,6148634.995281388
429699.73347329954,6149610.422173602
425193.1529600301,6150617.304645124
424687.71743945,6147344.659680192
426081.9283052941,6147344.659693395
423837.90019952424,6150656.577786716
428864.87665556953,6147344.659331545
426579.62438788166,6151614.195637547
427512.9846805263,6147344.658855652
425090.4588110958,6148764.556378724
428443.36601078097,6147344.659274817
428053.5579626203,6148776.388916371
423837.9003651847,6148818.379737542
428928.83932907565,6151099.715604694
426854.83251793915,6149835.317607639
425167.54189674865,6149908.829111848
428637.7142501375,6148508.537876835
428046.29384899646,6151614.196330383
426969.70066743006,6151614.196220651
426984.53112757363,6148248.568578696
426231.33908878674,6151484.486055964
424781.6250527832,6148072.7757277945
429699.7323507667,6147811.81597484
428985.7066637236,6150540.055072091
428153.93044249626,6149196.392654815
428351.8922911857,6149519.358033181
429699.7335121707,6149140.277735821
424297.3824389906,6147344.659722877
424901.0858173388,6151183.543931727
429277.4163639263,6151614.195247378
427031.378372541,6151007.783556563
427972.6917686257,6147982.995825181
426595.89764079516,6149281.810022126
426499.7046456887,6148031.561112949
429699.73206506943,6148573.881312891
428224.19875391223,6150360.986387941
425720.47522182285,6147344.658977195
424542.2835625975,6150362.858181123
429699.73311269504,6150487.471923617
425925.8319350128,6149062.631142057
429329.8798528588,6147344.659302705
425483.4782921761,6149119.802303156
429696.496483528,6151217.770454159
425379.11197403027,6148332.118461981
427800.7999326298,6149634.416213339
426445.18453538866,6147344.658759748
425848.24617547117,6150795.116164183
427703.71944979794,6151195.496954208
428685.02931372036,6148072.829003503
424546.3844178579,6148505.586647543
424126.2519049987,6151360.646421973
