x,y
415978.66689810733,6236104.521393835
425647.5996942102,6264220.625875443
399388.69738521683,6232384.306991834
425437.6245890329,6253886.991594638
425266.8309882358,6247281.041566862
425801.19204749685,6237447.6548896795
410042.9069769987,6245922.688890722
425981.2245772312,6232553.738088516
405934.98186714627,6240606.48625222
419053.1929999804,6243816.671005652
425240.41919798375,6260381.744096668
416155.95447208587,6253377.299502015
416138.8938994639,6232357.210330991
425382.002590916,6243637.295331759
415742.61839361524,6250309.508927001
405614.0004320549,6237237.702841287
416760.6550426873,6245615.513451679
424968.3934661725,6258475.590442132
404287.0098970933,6232469.243524888
417025.17876306246,6242063.000211198
421757.13680082,6232423.596041438
425397.2684383237,6251752.26067546
419439.15703621734,6257185.677378009
425015.6341119062,6241411.7569729285
409950.046851725,6243454.2557906015
401771.4626740591,6236274.878319131
423444.97586316563,6235160.463010504
416471.34038431424,6247469.838156882
421051.8115543823,6238239.273537591
420610.64829495,6254902.761008542
412881.54914565146,6249509.642224678
421788.45960330445,6248598.852176198
425864.72226450924,6235990.422603576
401915.2138946569,6234556.492633677
423024.3139816112,6261233.510009244
412616.6788771349,6233161.325814569
420653.4668567206,6236102.274324603
421417.5497472276,6246285.838967764
411792.93726683327,6236412.998186909
424930.0245818529,6257213.265832355
412997.1426113719,6247754.8465295
419487.7618413944,6232330.349700095
401812.7336897019,6232365.3608059175
419787.7854506465,6252225.988202308
425284.0030461353,6239636.606372135
416892.8347040301,6240295.932629253
421333.76900893543,6259489.52751426
421277.1105635353,6244180.895751298
407284.49551251676,6242757.338641209
425392.4993729953,6249787.449819137
409013.07807831734,6237365.059708504
425563.7060512887,6262496.237990167
404146.0580803771,6238964.188599607
422001.70198084915,6252171.703276305
407656.67916017806,6234602.260602693
418165.30692207697,6255706.868002596
421320.75723156694,6242387.462719977
424177.6613973346,6232327.970523654
420112.2658499178,6250289.277176027
413978.0962410987,6243624.225768192
411981.86310813174,6234957.040844866
414937.53052065696,6251934.8920049
425299.1934841829,6245625.619394968
416785.933467214,6238494.89395403
415922.2227811966,6234320.063635036
425131.4257178522,6255483.812924288
423377.01866373676,6244012.551957746
406814.96455016517,6232382.540213321
420804.9753077617,6234501.476628053
419068.8583378589,6254324.290467766
421331.81271749275,6240749.251355824
426054.3571489996,6234212.022847379
