latitude,longitude,elevation,value_count,cdi_index,utm_x,utm_y,utm_easting,utm_northing
55.4671875,7.847395833,-6.2146034,4.0,2288.0,476063.424,-8366721.994,427130.5216821134,6147385.42224417
55.4671875,7.8484375,-6.2040005,4.0,2288.0,442908.56,-8255233.526,427196.37437060184,6147384.331265891
55.4671875,7.849479167,-6.197573,4.0,2288.0,406052.962,-8144352.921,427262.227067675,6147383.241274154
55.4671875,7.850520833,-6.1942334,4.0,2288.0,577673.268,-8031336.749,427328.07971010846,6147382.152270004
55.4671875,7.8515625,-6.1931496,4.0,2288.0,544516.587,-7918105.933,427393.9324243308,6147381.064251349
55.4671875,7.852604167,-6.1940355,4.0,2288.0,507665.956,-7805403.951,427459.785147116,6147379.977219237
55.4671875,7.853645833,-6.196688,4.0,2288.0,467164.898,-7693312.27,427525.6378152383,6147378.891174707
55.4671875,7.8546875,-6.2010803,4.0,2288.0,423059.812,-7581907.756,427591.49055512605,6147377.806115675
55.4671875,7.855729167,-6.2072663,4.0,2288.0,428201.208,6148411.319,427657.34330355347,6147376.722043183
55.4671875,7.856770833,-6.2156744,4.0,2288.0,428267.045,6148410.244,427723.1959972945,6147375.63895827
55.4671875,7.8578125,-6.2266097,4.0,2288.0,428332.882,6148409.17,427789.0487627794,6147374.556858857
55.4671875,7.858854167,-6.240804,4.0,2288.0,428398.719,6148408.097,427854.9015367789,6147373.4757459825
55.4671875,7.859895833,-6.259095,4.0,2288.0,428464.556,6148407.025,427920.7542560688,6147372.395620684
55.4671875,7.8609375,-6.2824225,4.0,2288.0,428530.393,6148405.954,427986.60704707756,6147371.316480886
55.4671875,7.861979167,-6.308764,4.0,2288.0,428596.231,6148404.884,428052.45984657924,6147370.238327627
55.4671875,7.863020833,-6.3355684,4.0,2288.0,428662.068,6148403.815,428118.31259134796,6147369.16116194
55.4671875,7.8640625,-6.3611135,4.0,2288.0,428727.905,6148402.746,428184.1654078123,6147368.084981755
55.4671875,7.865104167,-6.385336,4.0,2288.0,428793.742,6148401.679,428250.0182327478,6147367.009788108
55.4671875,7.866145833,-6.409212,4.0,2288.0,428859.58,6148400.613,428315.8710029253,6147365.935582029
55.4671875,7.8671875,-6.4336596,4.0,2288.0,428925.417,6148399.548,428381.72384477523,6147364.862361454
55.4671875,7.868229167,-6.458564,4.0,2288.0,424384.661,6148591.276,428447.5766950713,6147363.790127415
55.4671875,7.869270833,-6.4831333,4.0,2288.0,424450.496,6148590.144,428513.4294905878,6147362.718880941
55.4671875,7.8703125,-6.5067587,4.0,2288.0,424516.331,6148589.013,428579.2823577532,6147361.648619974
55.4671875,7.871354167,-6.529186,4.0,2288.0,424582.165,6148587.883,428645.1352333416,6147360.579345541
55.4671875,7.872395833,-6.549921,4.0,2288.0,424648.0,6148586.753,428710.9880541269,6147359.511058668
55.4671875,7.8734375,-6.568342,4.0,2288.0,424713.835,6148585.625,428776.84094653954,6147358.443757305
55.4671875,7.874479167,-6.58398,4.0,2288.0,424779.67,6148584.498,428842.6938473502,6147357.377442475
55.4671875,7.875520833,-6.5955806,4.0,2288.0,424845.505,6148583.371,428908.5466933345,6147356.312115202
55.4671875,7.8765625,-6.60255,4.0,2288.0,424911.34,6148582.246,428974.3996109211,6147355.247773439
55.4671875,7.877604167,-6.6053667,4.0,2288.0,424977.175,6148581.122,429040.25253688404,6147354.184418211
55.4671875,7.878645833,-6.6064405,4.0,2288.0,425043.01,6148579.998,429106.10540799727,6147353.122050533
55.4671875,7.8796875,-6.610168,4.0,2288.0,425108.845,6148578.876,429171.95835068956,6147352.060668368
55.4671875,7.880729167,-6.621431,4.0,2288.0,425174.68,6148577.755,429237.81130173645,6147351.000272736
55.4671875,7.881770833,-6.6424704,4.0,2288.0,425240.515,6148576.634,429303.6641979071,6147349.940864651
55.4671875,7.8828125,-6.676718,4.0,2288.0,425306.351,6148575.515,429369.51716563664,6147348.882442082
55.4671875,7.883854167,-6.730324,4.0,2288.0,425372.186,6148574.396,429435.37014169426,6147347.825006044
55.4671875,7.884895833,-6.804333,4.0,2288.0,425438.021,6148573.279,429501.2230628555,6147346.76855755
55.4671875,7.8859375,-6.8914824,4.0,2288.0,425503.856,6148572.162,429567.0760555491,6147345.713094573
55.4671875,7.886979167,-6.9883146,4.0,2288.0,425569.691,6148571.047,429632.92905654915,6147344.658618126
55.46822917,7.7953125,-6.365717,4.0,2288.0,425635.526,6148569.932,423839.9075452886,6147557.144786744
55.46822917,7.796354167,-6.310438,4.0,2288.0,425701.361,6148568.819,423905.75805795495,6147556.004496737
55.46822917,7.797395833,-6.246525,4.0,2288.0,425767.196,6148567.706,423971.608516381,6147554.865194368
55.46822917,7.7984375,-6.1752777,4.0,2288.0,425833.031,6148566.595,424037.45904699096,6147553.726877451
55.46822917,7.799479167,-6.0970984,4.0,2288.0,425898.866,6148565.484,424103.3095865627,6147552.589547078
55.46822917,7.800520833,-6.0126777,4.0,2288.0,425964.701,6148564.375,424169.1600718691,6147551.453204341
55.46822917,7.8015625,-5.922737,4.0,2288.0,426030.537,6148563.266,424235.0106293361,6147550.317847057
55.46822917,7.802604167,-5.8282237,4.0,2288.0,426096.372,6148562.158,424300.86119573994,6147549.183476318
55.46822917,7.803645833,-5.729493,4.0,2288.0,426162.207,6148561.052,424366.71170785674,6147548.050093208
55.46822917,7.8046875,-5.627289,4.0,2288.0,426228.042,6148559.946,424432.56229211076,6147546.917695555
55.46822917,7.805729167,-5.522511,4.0,2288.0,426293.877,6148558.842,424498.4128852783,6147545.786284444
55.46822917,7.806770833,-5.416701,4.0,2288.0,426359.712,6148557.738,424564.26342413545,6147544.6558609605
55.46822917,7.8078125,-5.311518,4.0,2288.0,426425.548,6148556.635,424630.11403510824,6147543.526422934
55.46822917,7.808854167,-5.207245,4.0,2288.0,426491.383,6148555.534,424695.96465496946,6147542.3979714485
55.46822917,7.809895833,-5.1043687,4.0,2288.0,426557.218,6148554.433,424761.815220497,6147541.270507587
55.46822917,7.8109375,-5.0031133,4.0,2288.0,426623.053,6148553.333,424827.66585811524,6147540.144029184
55.46822917,7.811979167,-4.9198728,4.0,2288.0,426688.889,6148552.234,424893.5165046003,6147539.018537322
55.46822917,7.813020833,-4.893553,4.0,2288.0,426754.724,6148551.137,424959.3670967282,6147537.89403308
55.46822917,7.8140625,-4.920262,4.0,2288.0,426820.559,6148550.04,425025.2177609235,6147536.770514298
55.46822917,7.815104167,-4.989784,4.0,2288.0,426886.394,6148548.944,425091.06843396387,6147535.647982056
55.46822917,7.816145833,-5.0687957,4.0,2288.0,426952.23,6148547.849,425156.9190526206,6147534.526437429
55.46822917,7.8171875,-5.1450195,4.0,2288.0,427018.065,6148546.756,425222.7697433246,6147533.405878264
55.46822917,7.818229167,-5.2183275,4.0,2288.0,427083.9,6148545.663,425288.62044284714,6147532.28630564
55.46822917,7.819270833,-5.289589,4.0,2288.0,427149.735,6148544.571,425354.4710879659,6147531.167720625
55.46822917,7.8203125,-5.358914,4.0,2288.0,427215.571,6148543.48,425420.3218051053,6147530.0501210755
55.46822917,7.821354167,-5.4267054,4.0,2288.0,427281.406,6148542.39,425486.1725310416,6147528.933508063
55.46822917,7.822395833,-5.493122,4.0,2288.0,427347.241,6148541.302,425552.0232025508,6147527.81788266
55.46822917,7.8234375,-5.5584097,4.0,2288.0,427413.077,6148540.214,425617.87394605734,6147526.70324272
55.46822917,7.824479167,-5.622758,4.0,2288.0,427478.912,6148539.127,425683.724698339,6147525.589589319
55.46822917,7.825520833,-5.686309,4.0,2288.0,427544.747,6148538.041,425749.5753961686,6147524.476923522
55.46822917,7.8265625,-5.7491426,4.0,2288.0,427610.583,6148536.956,425815.4261659723,6147523.365243192
55.46822917,7.827604167,-5.8113422,4.0,2288.0,427676.418,6148535.872,425881.2769445262,6147522.254549397
55.46822917,7.828645833,-5.8729997,4.0,2288.0,427742.253,6148534.789,425947.1276686062,6147521.144843203
55.46822917,7.8296875,-5.934128,4.0,2288.0,427808.089,6148533.707,426012.978464637,6147520.036122479
55.46822917,7.830729167,-5.994732,4.0,2288.0,427873.924,6148532.626,426078.8292693946,6147518.928388288
55.46822917,7.831770833,-6.0547857,4.0,2288.0,427939.76,6148531.546,426144.6800196551,6147517.821641694
55.46822917,7.8328125,-6.114249,4.0,2288.0,428005.595,6148530.467,426210.5308418447,6147516.715880572
